ENTITY_ID,email_address,location,ip_address,account_balance,EVENT_TIMESTAMP,account_id,phone_number,transaction_id,EVENT_ID,transaction_date,transaction_amount,ENTITY_TYPE,email,transaction_type,transaction_duration
user-123,user@example.com,San Diego,162.198.218.92,5112.21,2025-04-14T18:00:00Z,AC00128,19207503166,TX000001,event-001,4:29:00 PM,14.09,customer,jalarsen5@wisc.edu,Debit,81
user-123,user@example.com,Houston,13.149.61.4,13758.91,2025-04-14T18:00:00Z,AC00455,19204759351,TX000002,event-001,4:44:00 PM,376.24,customer,dduan6@wisc.edu,Debit,141
user-123,user@example.com,Mesa,215.97.143.157,1122.35,2025-04-14T18:00:00Z,AC00019,17082055170,TX000003,event-001,6:16:00 PM,126.29,customer,jpconnell4@wisc.edu,Debit,56
user-123,user@example.com,Raleigh,200.13.225.150,8569.06,2025-04-14T18:00:00Z,AC00070,17082055170,TX000004,event-001,4:32:00 PM,184.5,customer,jpconnell4@wisc.edu,Debit,25
user-123,user@example.com,Atlanta,65.164.3.100,7429.4,2025-04-14T18:00:00Z,AC00411,16089822157,TX000005,event-001,5:51:00 PM,13.45,customer,wlee298@wisc.edu,Credit,198
user-123,user@example.com,Oklahoma City,117.67.192.211,781.68,2025-04-14T18:00:00Z,AC00393,16089822157,TX000006,event-001,5:15:00 PM,92.15,customer,wlee298@wisc.edu,Debit,172
user-123,user@example.com,Seattle,140.212.253.222,13316.71,2025-04-14T18:00:00Z,AC00199,17082055170,TX000007,event-001,4:36:00 PM,7.08,customer,jpconnell4@wisc.edu,Credit,139
user-123,user@example.com,Indianapolis,92.214.76.157,2796.24,2025-04-14T18:00:00Z,AC00069,19207503166,TX000008,event-001,5:47:00 PM,171.42,customer,jalarsen5@wisc.edu,Credit,291
user-123,user@example.com,Detroit,24.148.92.177,9095.14,2025-04-14T18:00:00Z,AC00135,17082055170,TX000009,event-001,4:59:00 PM,106.23,customer,jpconnell4@wisc.edu,Credit,86
user-123,user@example.com,Nashville,32.169.88.41,1021.88,2025-04-14T18:00:00Z,AC00385,19204759351,TX000010,event-001,4:06:00 PM,815.96,customer,dduan6@wisc.edu,Debit,120
user-123,user@example.com,Albuquerque,213.15.9.253,7599.52,2025-04-14T18:00:00Z,AC00150,19204759351,TX000011,event-001,4:46:00 PM,17.78,customer,dduan6@wisc.edu,Credit,59
user-123,user@example.com,Memphis,116.175.11.222,1528.81,2025-04-14T18:00:00Z,AC00459,17082055170,TX000012,event-001,5:30:00 PM,190.02,customer,jpconnell4@wisc.edu,Debit,173
user-123,user@example.com,Mesa,210.98.198.143,1620.02,2025-04-14T18:00:00Z,AC00392,19207503166,TX000013,event-001,5:21:00 PM,494.52,customer,jalarsen5@wisc.edu,Credit,111
user-123,user@example.com,Memphis,193.83.0.183,189.69,2025-04-14T18:00:00Z,AC00264,16089822157,TX000014,event-001,4:39:00 PM,781.76,customer,wlee298@wisc.edu,Debit,123
user-123,user@example.com,Louisville,188.124.181.12,299.93,2025-04-14T18:00:00Z,AC00085,15623103722,TX000015,event-001,4:53:00 PM,166.99,customer,rshart@wisc.edu,Debit,134
user-123,user@example.com,Denver,221.169.49.152,3465.54,2025-04-14T18:00:00Z,AC00270,19204759351,TX000016,event-001,4:23:00 PM,465.45,customer,dduan6@wisc.edu,Debit,129
user-123,user@example.com,Austin,53.218.177.171,1131.26,2025-04-14T18:00:00Z,AC00317,19207503166,TX000017,event-001,4:52:00 PM,555.8,customer,jalarsen5@wisc.edu,Credit,158
user-123,user@example.com,Columbus,114.223.129.47,5109.97,2025-04-14T18:00:00Z,AC00359,16089822157,TX000018,event-001,6:32:00 PM,492.93,customer,wlee298@wisc.edu,Debit,234
user-123,user@example.com,Albuquerque,93.218.115.132,7948.37,2025-04-14T18:00:00Z,AC00242,16089822157,TX000019,event-001,4:56:00 PM,18.68,customer,wlee298@wisc.edu,Credit,106
user-123,user@example.com,Columbus,120.170.93.69,6568.59,2025-04-14T18:00:00Z,AC00285,17082055170,TX000020,event-001,6:18:00 PM,71.48,customer,jpconnell4@wisc.edu,Credit,169
user-123,user@example.com,Los Angeles,116.44.12.250,5750.89,2025-04-14T18:00:00Z,AC00002,19207503166,TX000021,event-001,4:36:00 PM,59.32,customer,jalarsen5@wisc.edu,Debit,38
user-123,user@example.com,Las Vegas,59.132.247.252,9146.19,2025-04-14T18:00:00Z,AC00014,16089822157,TX000022,event-001,6:31:00 PM,85.77,customer,wlee298@wisc.edu,Debit,93
user-123,user@example.com,Atlanta,133.63.96.21,8974.93,2025-04-14T18:00:00Z,AC00095,16089822157,TX000023,event-001,6:54:00 PM,52.2,customer,wlee298@wisc.edu,Debit,120
user-123,user@example.com,Fort Worth,191.82.103.198,1402.5,2025-04-14T18:00:00Z,AC00453,19207503166,TX000024,event-001,6:25:00 PM,345.84,customer,jalarsen5@wisc.edu,Debit,142
user-123,user@example.com,Raleigh,119.186.154.104,1930.96,2025-04-14T18:00:00Z,AC00241,16089822157,TX000025,event-001,4:43:00 PM,145.54,customer,wlee298@wisc.edu,Debit,96
user-123,user@example.com,Houston,81.248.235.147,3634.67,2025-04-14T18:00:00Z,AC00041,15623103722,TX000026,event-001,5:53:00 PM,7.49,customer,rshart@wisc.edu,Credit,276
user-123,user@example.com,Miami,55.154.161.250,673.35,2025-04-14T18:00:00Z,AC00441,16089822157,TX000027,event-001,4:37:00 PM,246.93,customer,wlee298@wisc.edu,Debit,158
user-123,user@example.com,Milwaukee,21.28.32.1,2686.52,2025-04-14T18:00:00Z,AC00057,17082055170,TX000028,event-001,4:42:00 PM,40.32,customer,jpconnell4@wisc.edu,Debit,95
user-123,user@example.com,Las Vegas,152.234.65.155,1772.06,2025-04-14T18:00:00Z,AC00390,19204759351,TX000029,event-001,4:18:00 PM,127.45,customer,dduan6@wisc.edu,Debit,197
user-123,user@example.com,Detroit,33.28.138.82,1351.69,2025-04-14T18:00:00Z,AC00313,16089822157,TX000030,event-001,4:55:00 PM,56.17,customer,wlee298@wisc.edu,Debit,283
user-123,user@example.com,Miami,35.67.21.23,8334.47,2025-04-14T18:00:00Z,AC00367,15623103722,TX000031,event-001,5:49:00 PM,28.31,customer,rshart@wisc.edu,Credit,20
user-123,user@example.com,Baltimore,187.199.178.27,9823.64,2025-04-14T18:00:00Z,AC00291,17082055170,TX000032,event-001,4:24:00 PM,59.12,customer,jpconnell4@wisc.edu,Debit,257
user-123,user@example.com,New York,133.67.250.163,9690.15,2025-04-14T18:00:00Z,AC00060,16089822157,TX000033,event-001,4:26:00 PM,396.45,customer,wlee298@wisc.edu,Debit,168
user-123,user@example.com,Los Angeles,134.140.85.231,399,2025-04-14T18:00:00Z,AC00359,19204759351,TX000034,event-001,5:23:00 PM,877.81,customer,dduan6@wisc.edu,Debit,150
user-123,user@example.com,San Francisco,92.214.76.157,14815.87,2025-04-14T18:00:00Z,AC00365,15623103722,TX000035,event-001,4:42:00 PM,255.26,customer,rshart@wisc.edu,Credit,50
user-123,user@example.com,Seattle,59.145.242.13,5764.72,2025-04-14T18:00:00Z,AC00267,19204759351,TX000036,event-001,4:32:00 PM,124.76,customer,dduan6@wisc.edu,Debit,45
user-123,user@example.com,Milwaukee,33.28.138.82,900.61,2025-04-14T18:00:00Z,AC00404,19207503166,TX000037,event-001,4:58:00 PM,78.13,customer,jalarsen5@wisc.edu,Debit,145
